name,value,year,lastValue,rank
Utah,508.4638732,2006,508.4638732,578
South Carolina,504.6978297,2000,504.6978297,539
Arkansas,502.8881376,2007,502.8881376,582
Oregon,502.7378724,1992,502.7378724,547
South Carolina,496.4953374,1993,496.4953374,589
Oregon,495.2502417,1990,495.2502417,589
Arkansas,493.3522431,2006,493.3522431,584
South Carolina,492.6205431,1996,492.6205431,550
Oregon,490.4724623,1991,490.4724623,591
Nevada,489.6881668,2003,489.6881668,585
South Carolina,488.3020672,1998,488.3020672,584
Oklahoma,487.1282224,1992,487.1282224,555
South Carolina,484.7464542,1995,484.7464542,591
South Carolina,484.3014793,1997,484.3014793,588
Kansas,483.7952332,2015,483.7952332,587
South Carolina,481.3116237,1994,481.3116237,597
Kansas,478.1759269,2017,478.1759269,606
South Carolina,477.6085284,1991,477.6085284,600
Utah,475.9511897,2005,475.9511897,595
South Carolina,475.312419,1992,475.312419,563
Kansas,475.0107345,2012,475.0107345,608
Arkansas,473.2674278,2005,473.2674278,598
Nevada,471.3085471,2002,471.3085471,594
Oklahoma,470.7001096,1991,470.7001096,606
Kansas,467.7604713,2013,467.7604713,613
Utah,460.9989113,2003,460.9989113,601
South Carolina,460.1214369,1990,460.1214369,610
Oklahoma,458.0613474,1990,458.0613474,611
Iowa,457.7372921,2018,457.7372921,484
Kansas,457.723852,2011,457.723852,616
Arkansas,457.7082761,2004,457.7082761,582
Arkansas,452.1988881,2003,452.1988881,607
Mississippi,451.500046,2015,451.500046,605
Arkansas,449.8753494,2002,449.8753494,605
New Mexico,449.4462773,2014,449.4462773,497
Nevada,446.6922587,2001,446.6922587,606
Mississippi,446.1526647,2014,446.1526647,499
Iowa,445.3729733,2013,445.3729733,626
Nevada,442.3558253,2000,442.3558253,576
Arkansas,434.4400434,2001,434.4400434,610
Utah,434.2878937,2002,434.2878937,612
